Year;Month;prix_m2_vente;date
2020;1;2988.814679202764;2020-01-01
2020;2;3256.2558837181546;2020-02-01
2020;3;3151.3023258105295;2020-03-01
2020;4;3111.9114986776376;2020-04-01
2020;5;3247.79613501865;2020-05-01
2020;6;3321.4513129230245;2020-06-01
2020;7;3339.946612966461;2020-07-01
2020;8;3206.678712050508;2020-08-01
2020;9;3346.2180979756176;2020-09-01
2020;10;3584.510087981943;2020-10-01
2020;11;3438.138546415417;2020-11-01
2020;12;3404.9267863579335;2020-12-01
2021;1;3545.8107671291586;2021-01-01
2021;2;3501.013755379271;2021-02-01
2021;3;3524.5057384088564;2021-03-01
2021;4;3505.170686246223;2021-04-01
2021;5;3568.3113032861515;2021-05-01
2021;6;3479.195922683273;2021-06-01
2021;7;3499.53327324041;2021-07-01
2021;8;3341.4813341682793;2021-08-01
2021;9;3665.0157653283086;2021-09-01
2021;10;3573.17290966374;2021-10-01
2021;11;3618.3991018884876;2021-11-01
2021;12;3646.318127927274;2021-12-01
2022;1;3715.1526669139466;2022-01-01
2022;2;3646.456893579029;2022-02-01
2022;3;3657.4846000834164;2022-03-01
2022;4;3653.6619997177704;2022-04-01
2022;5;3768.8042398591347;2022-05-01
2022;6;3701.72078899551;2022-06-01
2022;7;3674.536911162523;2022-07-01
2022;8;3272.5306348103004;2022-08-01
2022;9;3719.6286478855723;2022-09-01
2022;10;3608.871491137891;2022-10-01
2022;11;3690.3176909259155;2022-11-01
2022;12;3687.809562698053;2022-12-01
2023;1;3725.5112988027067;2023-01-01
2023;2;3696.9194154760357;2023-02-01
2023;3;3717.0013167144875;2023-03-01
2023;4;3693.3461895384225;2023-04-01
2023;5;3674.3841692354963;2023-05-01
2023;6;3768.323772830699;2023-06-01
2023;7;3665.6675376906855;2023-07-01
2023;8;3424.312322441174;2023-08-01
2023;9;3659.417091429927;2023-09-01
2023;10;3598.251169461152;2023-10-01
2023;11;3593.7051917014473;2023-11-01
2023;12;3506.0063389536567;2023-12-01
