Year;Month;departement;prix_m2_vente;date
2020;1;01;2857.5223401109056;2020-01-01
2020;1;02;1343.7558272800645;2020-01-01
2020;1;03;1139.4948053024027;2020-01-01
2020;1;04;2159.9381303116147;2020-01-01
2020;1;05;2643.1902925531917;2020-01-01
2020;1;06;5708.187875708248;2020-01-01
2020;1;07;1703.735580357143;2020-01-01
2020;1;08;1059.1524812030075;2020-01-01
2020;1;09;1277.6551502590673;2020-01-01
2020;1;10;1479.3098630136985;2020-01-01
2020;1;11;1700.7477417261518;2020-01-01
2020;1;12;1346.5971805555555;2020-01-01
2020;1;13;3617.4932625649913;2020-01-01
2020;1;14;2697.2386379613354;2020-01-01
2020;1;15;1298.2841605839415;2020-01-01
2020;1;16;1327.8588252148998;2020-01-01
2020;1;17;2711.2572270227806;2020-01-01
2020;1;18;1180.945525362319;2020-01-01
2020;1;19;1322.3428145695366;2020-01-01
2020;1;20;4110.327331109257;2020-01-01
2020;1;21;2048.836157813306;2020-01-01
2020;1;22;1837.9123129251702;2020-01-01
2020;1;23;778.6304273504273;2020-01-01
2020;1;24;1535.3843613890522;2020-01-01
2020;1;25;1752.28625136612;2020-01-01
2020;1;26;2019.7105824111823;2020-01-01
2020;1;27;1770.235980861244;2020-01-01
2020;1;28;1906.599367884961;2020-01-01
2020;1;29;1949.1808120300752;2020-01-01
2020;1;30;2284.837745375996;2020-01-01
2020;1;31;2705.0692853972478;2020-01-01
2020;1;32;1504.9307978723405;2020-01-01
2020;1;33;3778.088594068043;2020-01-01
2020;1;34;3318.715901896958;2020-01-01
2020;1;35;2691.418157894737;2020-01-01
2020;1;36;1039.6143613707166;2020-01-01
2020;1;37;2071.042310895212;2020-01-01
2020;1;38;2507.6413607188706;2020-01-01
2020;1;39;1427.2072508591066;2020-01-01
2020;1;40;2621.5824458531433;2020-01-01
2020;1;41;1365.7676187499999;2020-01-01
2020;1;42;1510.7162819519751;2020-01-01
2020;1;43;1199.9389893617022;2020-01-01
2020;1;44;3134.6603833865815;2020-01-01
2020;1;45;1816.4379035639413;2020-01-01
2020;1;46;1476.5352173913043;2020-01-01
2020;1;47;1374.0566642066422;2020-01-01
2020;1;48;1396.279152542373;2020-01-01
2020;1;49;1811.082453290008;2020-01-01
2020;1;50;1534.4655787641427;2020-01-01
2020;1;51;1850.3111138014528;2020-01-01
